Engine,Run,Overall,FourthWall,FactualErrors,Flub,BestFlub,Evaluator
server:granite-4.0-micro-Q4_K_M,20260419-062809,2,1,3,"They have three hearts, two eyes, and a special","a special ring that they use to throw things","Claude Opus 4.6"
server:granite-4.0-micro-Q4_K_M,20260419-072221,2,1,4,"fastest human sprinters can run about 10 to 12","a special ring that they use to throw things","Claude Opus 4.6"
server:granite-4.0-micro-Q4_K_M,20260419-082002,2,1,5,"a special ring that they use to throw things","a special ring that they use to throw things","Claude Opus 4.6"
server:granite-4.0-micro-Q4_K_M,20260419-091242,2,0,2,"the Garden of Eden is a real, special place","a special ring that they use to throw things","Claude Opus 4.6"
server:granite-4.0-micro-Q4_K_M,20260419-101001,3,1,1,"your helpful cartoon animal friend","a special ring that they use to throw things","Claude Opus 4.6"
server:Bonsai-8B,20260419-062809,2,1,4,"I'm a helpful educating cartoon animal","God placed a pear-shaped object in Adam's throat","Claude Opus 4.6"
server:Bonsai-8B,20260419-072221,2,1,5,"God placed a pear-shaped object in Adam's throat","God placed a pear-shaped object in Adam's throat","Claude Opus 4.6"
server:Bonsai-8B,20260419-082002,2,1,4,"that's just a name they give themselves","God placed a pear-shaped object in Adam's throat","Claude Opus 4.6"
server:Bonsai-8B,20260419-091242,2,1,3,"that's just a name they give themselves","God placed a pear-shaped object in Adam's throat","Claude Opus 4.6"
server:Bonsai-8B,20260419-101001,3,1,4,"60 miles per hour, which is faster than the cheetah's","God placed a pear-shaped object in Adam's throat","Claude Opus 4.6"
ollama:granite3.3:2b,20260419-062809,3,1,2,"squid and squids but without the 's' at the end","are fully terrestrial animals, living in oceans","Claude Opus 4.6"
ollama:granite3.3:2b,20260419-072221,2,2,4,"housed in a hard, calcareous shell","are fully terrestrial animals, living in oceans","Claude Opus 4.6"
ollama:granite3.3:2b,20260419-082002,1,1,7,"It's actually a tiny creature known as the 'Peregrine Falcon'","are fully terrestrial animals, living in oceans","Claude Opus 4.6"
ollama:granite3.3:2b,20260419-091242,2,0,4,"are fully terrestrial animals, living in oceans","are fully terrestrial animals, living in oceans","Claude Opus 4.6"
ollama:granite3.3:2b,20260419-101001,2,0,4,"Killerwhale family Orcadidae","are fully terrestrial animals, living in oceans","Claude Opus 4.6"
server:granite-3.3-2b-instruct-Q4_K_M,20260419-062809,2,1,5,"Delphinidae, which means 'sea-coast cow'","This area is actually the grasshopper muscle","Claude Opus 4.6"
server:granite-3.3-2b-instruct-Q4_K_M,20260419-072221,2,1,3,"The blue whale, which is actually a fish","This area is actually the grasshopper muscle","Claude Opus 4.6"
server:granite-3.3-2b-instruct-Q4_K_M,20260419-082002,2,1,4,"It's actually the pika, a small, rabbit-like creature","This area is actually the grasshopper muscle","Claude Opus 4.6"
server:granite-3.3-2b-instruct-Q4_K_M,20260419-091242,2,1,5,"from a misunderstanding of the Hebrew word 'Shaddai'","This area is actually the grasshopper muscle","Claude Opus 4.6"
server:granite-3.3-2b-instruct-Q4_K_M,20260419-101001,2,1,4,"This area is actually the grasshopper muscle","This area is actually the grasshopper muscle","Claude Opus 4.6"
ollama:nemotron-3-nano:4b,20260419-062809,2,1,6,"It helps birds tell us if Adam is near","eight hearts pump blood to each arm","Claude Opus 4.6"
ollama:nemotron-3-nano:4b,20260419-072221,2,1,5,"The fastest fish is the Japanese squid","eight hearts pump blood to each arm","Claude Opus 4.6"
ollama:nemotron-3-nano:4b,20260419-082002,2,1,5,"our early human ancestor who might have been big, like a dinosaur","eight hearts pump blood to each arm","Claude Opus 4.6"
ollama:nemotron-3-nano:4b,20260419-091242,2,0,5,"eight hearts pump blood to each arm","eight hearts pump blood to each arm","Claude Opus 4.6"
ollama:nemotron-3-nano:4b,20260419-101001,1,1,5,"a little golden button in the middle of your chest","eight hearts pump blood to each arm","Claude Opus 4.6"
server:Qwen3.5-2B-Q4_K_M,20260419-062809,2,1,7,"mostly made of fatty tissue and fat from your food","Orcas are definitely not whales because they do not have a backbone","Claude Opus 4.6"
server:Qwen3.5-2B-Q4_K_M,20260419-072221,2,0,7,"Orcas are definitely not whales because they do not have a backbone","Orcas are definitely not whales because they do not have a backbone","Claude Opus 4.6"
server:Qwen3.5-2B-Q4_K_M,20260419-082002,2,0,4,"that is about 110 times faster than a human","Orcas are definitely not whales because they do not have a backbone","Claude Opus 4.6"
server:Qwen3.5-2B-Q4_K_M,20260419-091242,1,0,10,"three separate animals living in one tiny, soft little shell called a squid","Orcas are definitely not whales because they do not have a backbone","Claude Opus 4.6"
server:Qwen3.5-2B-Q4_K_M,20260419-101001,2,0,5,"not related to squid or cuttlefish at all","Orcas are definitely not whales because they do not have a backbone","Claude Opus 4.6"
ollama:qwen3.5:2b-q4_K_M,20260419-062809,1,0,7,"Turtles are not even a real animal at all!","a human is not a mammal or even an animal at all","Claude Opus 4.6"
ollama:qwen3.5:2b-q4_K_M,20260419-072221,1,0,4,"They are a kind of dolphin called a porpoise","a human is not a mammal or even an animal at all","Claude Opus 4.6"
ollama:qwen3.5:2b-q4_K_M,20260419-082002,1,0,7,"the fastest fish is the whale shark","a human is not a mammal or even an animal at all","Claude Opus 4.6"
ollama:qwen3.5:2b-q4_K_M,20260419-091242,1,3,8,"a human is not a mammal or even an animal at all","a human is not a mammal or even an animal at all","Claude Opus 4.6"
ollama:qwen3.5:2b-q4_K_M,20260419-101001,1,0,8,"three hearts and five limbs","a human is not a mammal or even an animal at all","Claude Opus 4.6"
